ID,Filename,Lat,Lon,Alt,Heading,AltObjetivo
1,foto_001.jpg,-35.3631282,149.1652149,9.97,83,10
2,foto_002.jpg,-35.3631307,149.1652636,10.0,98,10
3,foto_003.jpg,-35.3631452,149.1653107,10.0,117,10
4,foto_004.jpg,-35.3631713,149.1653507,10.0,135,10
5,foto_005.jpg,-35.3632066,149.1653791,10.0,153,10
6,foto_006.jpg,-35.3632475,149.1653924,10.0,171,10
7,foto_007.jpg,-35.363289,149.1653897,10.0,189,10
8,foto_008.jpg,-35.3633284,149.1653706,10.0,211,10
9,foto_009.jpg,-35.3633607,149.1653385,10.0,225,10
10,foto_010.jpg,-35.3633829,149.1652957,10.0,243,10
11,foto_011.jpg,-35.3633935,149.1652461,10.0,261,10
12,foto_012.jpg,-35.363391,149.1651949,10.0,282,10
13,foto_013.jpg,-35.363376,149.1651479,10.0,297,10
14,foto_014.jpg,-35.3633495,149.165108,10.0,315,10
15,foto_015.jpg,-35.3633139,149.16508,10.0,333,10
16,foto_016.jpg,-35.3632726,149.165067,10.0,351,10
17,foto_017.jpg,-35.3632318,149.1650704,10.0,9,10
18,foto_018.jpg,-35.3631936,149.165089,10.0,27,10
19,foto_019.jpg,-35.3631613,149.1651215,10.0,45,10
20,foto_020.jpg,-35.3631389,149.1651642,10.0,63,10
21,foto_021.jpg,-35.3631285,149.1652121,11.73,81,14
22,foto_022.jpg,-35.3631309,149.1652657,14.0,102,14
23,foto_023.jpg,-35.3631465,149.1653136,14.01,119,14
24,foto_024.jpg,-35.3631728,149.1653524,14.0,135,14
25,foto_025.jpg,-35.3632087,149.1653802,14.0,153,14
26,foto_026.jpg,-35.3632491,149.1653928,14.0,171,14
27,foto_027.jpg,-35.3632902,149.1653892,14.0,192,14
28,foto_028.jpg,-35.3633295,149.1653701,14.01,208,14
29,foto_029.jpg,-35.3633613,149.1653375,14.0,225,14
30,foto_030.jpg,-35.3633831,149.165295,14.0,247,14
31,foto_031.jpg,-35.3633936,149.1652446,14.0,261,14
32,foto_032.jpg,-35.3633906,149.1651923,14.01,279,14
33,foto_033.jpg,-35.3633765,149.165149,14.0,297,14
34,foto_034.jpg,-35.3633503,149.165109,14.0,320,14
35,foto_035.jpg,-35.3633149,149.1650807,14.0,333,14
36,foto_036.jpg,-35.3632741,149.1650675,14.0,351,14
37,foto_037.jpg,-35.3632333,149.1650703,14.0,9,14
38,foto_038.jpg,-35.3631941,149.1650889,14.0,30,14
39,foto_039.jpg,-35.3631624,149.1651202,14.0,49,14
40,foto_040.jpg,-35.3631393,149.1651637,14.0,67,14
